Level,Semester,Course Code,Course Title,Course Area,Department,Faculty
100 Level,Second Semester,HED 124,Health Problems of the School Child,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,GST212,Philosophy Logic and Human Existence,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EDU211,Education Psychology,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EDU212,Sociology of Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EDU201,"Curriculum, Curriculum Delivery and General Teaching Method",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EHE 213,Human Anatomy and Physiology,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EHE 215,"Family Life, Reproductive Health and Population Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EHE 220,Food and Human Nutrition,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EHE 222,"Emotional, Mental and Social Health",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,HSE222,"Career Opportunities in Health and Environmental Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EDU221,"Teaching Methods I: Planning for Teaching and Learning Health Education in the Classroom",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EDU222,Philosophy of Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EDU223,"Instructional Technology and Computer in Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EHE 211,Methods and Resources in Health Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EHE 212,School Health Education Programme,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EHE 218,Human Diseases and Health Protection,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,GST312,Peace and Conflict Resolutions,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EDU 301,Teaching Practice I,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EDU312,"Teaching Methods II: Planning for Teaching and Learning Health Education in the Classroom",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EHE 313,Research Methods in Health Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EHE 314,Substance Use and Abuse Prevention,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EHE 321,"Application of Computer Skills & Health Informatics",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,HED 311,Health and Illness Behaviour,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,HED 312,Primary Healthcare,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,HSE 312,"Health and Environmental Education Practicals",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,GST 311,Entrepreneurship,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EDU 302,"Educational Measurements, Tests, Research Methods and Statistics",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EDU 323,Guidance and Counseling,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EHE 315,"Maternal, Infant and Child Health",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EHE 317,Health Promotion and Counselling,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EHE 320,"First Aid, Accident Prevention and Safety Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EHE 322,"Life Skills and Skilled-Based Health Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EDU 401,Teaching Practice II,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EDU411,Educational Measurement and Evaluation,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EDU412,Educational Management,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EHE 402,Occupational and Industrial Health Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EHE 403,Health Economics and Consumerism,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EHE 407,Seminar in Health Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EHE 409,"Curriculum Development and Innovation in Health Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EHE 410,Geriatrics and Death Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,HSE 412,Community and Environmental Health,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,HED 411,"Intervention Strategies for Health Promotion and Disease Prevention",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EDU 404,Project,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EHE 401,"Contemporary National Health Programmes, Issues and Problems in Health Education",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EHE 404,"Organisation, Planning and Evaluation of Health Education Programmes",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EHE 408,"Global Health, National Health Laws, Policies and Advocacy",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,HED 423,"Public Health Tools and Communication Strategies",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,HED 421,Models and Theories of Behaviour Change,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,HED 422,"Development of Safety and Health Attitudes and Contemporary Issues",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EHE 324,Epidemiology of Public Health and Human Biostatistics,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,HED 321,Basic Statistics in Health Education,Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,HED 322,"Communicable and Non-communicable Diseases",Health Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,EDU111,History of Education,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,GST111,Communication in English,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,GST112,Philosophy and Logic,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,COS101,Introduction to Computer Science,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,CHM101,General Chemistry I,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,GEO101,Introduction to Geography Man,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,BIO111,Introduction to Animal Environmental Biology,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,EED111,Foundation of Environmental Education,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,First Semester,HSE113,Wellness I,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EDU101,"Introduction to Teaching and Foundations of Education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,GEO 102,"Introduction to Geography Man & His Cultural Env.",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EED121,Introductory Techniques in Env. Science,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,EED122,"Introduction to Env. Philosophy",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,CHM102,General Chemistry II,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
100 Level,Second Semester,HSE123,Wellness II,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EDU211,Educational Psychology,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EDU212,Sociology of Education,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EDU201,"Curriculum, Curriculum Delivery and General Teaching Methods",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,GST212,Philosophy Logic and Human Existence,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,BIO202,Environmental Ecology,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,MCB221,Introduction to Microbiology,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EMT201,Introduction to Environmental Science,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EMT202,Method of Environmental Analysis,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,GEO206,Introductory GIS,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,EED211,"Entrepreneurship and Innovation in Environmental Education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,CHM 214,Introduction to Environmental Chemistry,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,First Semester,HSE 211,"Environmental Need Assessment & Introduction",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EDU221,"Teaching Methods I Environmental Education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EDU 222,Philosophy of Education,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EDU223,"Instructional Technology and Computer in Education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,HSE222,"Career Opportunities in Health and Environmental Education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EED223,"Biosphere and Sustainability",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EED 224,"Environment and Politics",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
200 Level,Second Semester,EED 225,Introduction to Environmental Psychology,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EDU 301,Teaching Practice I,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EDU312,"Teaching Methods II Environmental Education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,GST312,Peace and Conflict Resolutions,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EED301,Principles of Natural Resources Management,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EET302,Hazardous Substance Management,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EMT303,Metal and Environment Pollution,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EED305,Environmental Studies,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EMT306,"Environmental Aspects of Agrochemicals & Other Toxicants",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EMT307,Remote Sensing Techniques,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,EED312,Venture Creation,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,FOW311,"Environmental Ecosystem & Man",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,HSE 318,Health and Environmental Education Practices,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,First Semester,HSE 313,Population Education,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EDU302,"Educational Research Methods and Statistics",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EDU 323,Guidance and Counselling,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,GST321,Entrepreneurship,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EMT322,Introductory to Climatology & Meteorology,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EED323,"Coastal Resource Management",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,SLM321,"Soil Chemistry and Microbiology",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EED324,"Environmental Impact Analysis",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
300 Level,Second Semester,EED326,"Introduction to Environmental Safety and Environmental Sanitation",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EDU 401,Teaching Practice II,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EDU 411,Educational Measurement and Evaluation,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EDU 412,Educational Management,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EED 411,Environmental Tools & Communication Strategies,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,HSE 412,Environmental and Community Health,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,FOW414,Multiple Land use,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,PUL411,Environmental Law,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EED401,Environmental Monitoring Systems and Techniques,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EED403,"Science, Technology, and Society",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EED405,Rural and Urban Regional Planning,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,First Semester,EED407,"Environmental Education and Awareness (environmental Literacy)",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EDU404,Project,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EED421,Contemporary issues in Environmental Education,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EED422,Assessment and Evaluation of environmental issues,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EED423,Tropical Resources Management,Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,EED424,"Parks, Eco-tourism & Environmental Science",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
400 Level,Second Semester,HSE424,"Behavioral theories in environmental and health education",Environmental Education,"HEALTH, SAFETY AND ENVIRONMENTAL EDUCATION","Faculty of Education"
